dates,stock,open,close,high,low,volume,category
2009-02-12,PEP,50.5100,52.0000,52.1700,50.0000,10423700,Food
2009-02-11,PEP,50.1400,50.6100,50.9200,49.5800,5917500,Food
2009-02-10,PEP,50.9200,49.5300,51.4300,49.2200,10779800,Food
2009-02-09,PEP,53.2600,51.4300,53.2600,50.7800,9006100,Food
2009-02-06,PEP,52.2800,53.5300,53.6400,52.1500,6908800,Food
2009-02-05,PEP,50.8600,52.3500,52.6700,50.5900,9224600,Food
2009-02-04,PEP,51.5400,51.4900,52.2250,51.0000,6898600,Food
2009-02-03,PEP,50.5200,51.5200,51.7400,49.7700,5319100,Food
2009-02-02,PEP,49.7600,50.1300,50.4000,49.0454,5659900,Food
2009-01-30,PEP,51.5000,50.2300,51.8800,49.9800,7582400,Food
2009-01-29,PEP,51.8500,51.6800,52.4000,51.4200,5372400,Food
2009-01-28,PEP,51.8500,52.0400,52.2500,51.3600,5803800,Food
2009-01-27,PEP,51.5600,51.6400,52.2800,51.3900,6763800,Food
2009-01-26,PEP,50.7900,51.4200,51.6000,50.0000,7619600,Food
2009-01-23,PEP,49.8400,50.6200,50.7300,49.1012,7818700,Food
2009-01-22,PEP,49.8200,50.3500,50.5600,49.2400,8916100,Food
2009-01-21,PEP,51.0500,50.4400,51.0500,49.6200,8982200,Food
2009-01-20,PEP,51.5800,50.4300,52.0900,50.3300,8057700,Food
2009-01-16,PEP,50.8100,51.3700,51.6900,50.7600,8964200,Food
2009-01-15,PEP,51.0500,50.5300,51.1000,49.8800,2491900,Food
2009-01-14,PEP,51.9000,51.1000,51.9200,50.3300,8619000,Food
2009-01-13,PEP,51.3900,52.2300,52.4600,51.2000,9295800,Food
2009-01-12,PEP,52.6600,51.3900,52.6600,51.0700,9240700,Food
2009-01-09,PEP,53.4700,52.5700,53.8000,52.4000,6910700,Food
2009-01-08,PEP,53.8000,53.2500,54.0700,52.8000,8210400,Food
2009-01-07,PEP,55.3400,53.8900,55.3400,53.6800,7364600,Food
2009-01-06,PEP,55.9300,55.7000,56.9300,55.0000,8081600,Food
2009-01-05,PEP,55.8200,55.6000,55.9000,55.1000,7122000,Food
2009-01-02,PEP,54.9300,55.9700,56.1400,54.7200,5182400,Food
2008-12-31,PEP,55.0300,54.7700,55.5700,54.6100,5024400,Food
2008-12-30,PEP,54.1100,54.8800,55.0200,54.0900,5010600,Food
2008-12-29,PEP,54.8100,54.0700,55.0700,53.4200,4708600,Food
2008-12-26,PEP,54.6900,54.5600,55.1200,54.2700,2855000,Food
2008-12-24,PEP,54.2500,54.5400,54.8400,54.0700,2051200,Food
2008-12-23,PEP,53.7700,54.1700,55.2400,53.6600,6249900,Food
2008-12-22,PEP,54.2800,53.7500,54.8500,52.9600,5738700,Food
2008-12-19,PEP,55.2400,54.0900,55.4900,53.8300,11422100,Food
2008-12-18,PEP,54.6200,54.7100,55.3800,54.3800,10270600,Food
2008-12-17,PEP,53.7700,54.3300,54.9100,53.2600,8002500,Food
2008-12-16,PEP,52.9100,54.2100,54.4200,52.5100,9408900,Food
2008-12-15,PEP,52.4100,52.4200,52.8700,51.1200,6148700,Food
2008-12-12,PEP,51.5500,52.0300,52.3400,51.0100,6984400,Food
2008-12-11,PEP,53.0000,52.7100,54.0000,52.4300,5699500,Food
2008-12-10,PEP,52.6200,53.0100,53.4700,52.2700,5651200,Food
2008-12-09,PEP,53.4200,52.2700,53.6300,51.9600,7472100,Food
2008-12-08,PEP,54.3900,53.6000,54.5000,52.8600,9974200,Food
2008-12-05,PEP,52.4100,53.3700,54.5100,51.3700,9936200,Food
2008-12-04,PEP,53.6600,52.3300,54.5100,51.8200,7775200,Food
2008-12-03,PEP,53.4900,54.0800,54.2300,52.4800,10379100,Food
2008-12-02,PEP,54.5100,54.4500,54.8400,53.1100,7039200,Food
2008-12-01,PEP,55.5600,53.6400,56.4000,53.5400,7918200,Food
2008-11-28,PEP,55.1800,56.7000,56.8100,55.0100,3526300,Food
2008-11-26,PEP,53.8800,54.9300,55.0300,52.5300,8115500,Food
2008-11-25,PEP,55.7100,54.0000,56.8600,52.6400,11302400,Food
2008-11-24,PEP,54.9000,55.6600,56.9100,52.9200,14416500,Food
2008-11-21,PEP,51.2400,54.5900,54.7800,49.7400,17891200,Food
2008-11-20,PEP,51.5900,50.2900,53.9500,50.0000,13542800,Food
